"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
8870,"E ALEU","Other","East",2003,0.374399345611633,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8873,"E ALEU","Other","East",2003,0.568653393198995,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8874,"E ALEU","Other","East",2003,0.0344547623337508,"F",11,11,11,1,2,3,11,5,8,10,11,11,11,11,11,11,11,11,11
8876,"E ALEU","Other","East",2003,-0.645434404222014,"F",11,11,11,1,11,3,11,5,8,9,10,11,11,11,11,11,11,11,11
8880,"E ALEU","Other","East",2003,-0.208362797150451,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8881,"E ALEU","Other","East",2003,0.131581786127431,"F",11,11,11,1,11,3,11,5,7,10,10,9,11,10,9,10,10,11,11
8888,"E ALEU","Other","East",2003,0.374399345611633,"F",11,11,11,1,11,11,11,5,8,10,9,10,10,10,10,10,10,10,9
8890,"E ALEU","Other","East",2003,-1.03394249939674,"F",11,11,11,1,2,3,4,5,8,9,10,10,10,10,10,10,10,10,10
8891,"E ALEU","Other","East",2003,-1.4710141064683,"F",11,11,11,1,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11
8893,"E ALEU","Other","East",2003,-2.15090327302407,"F",11,11,11,1,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11
8897,"E ALEU","Other","East",2003,-0.839688451809376,"F",11,11,11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11
8899,"E ALEU","Other","East",2003,-1.27676005888094,"F",11,11,11,1,2,3,4,5,7,9,9,9,9,10,9,10,10,10,9
8900,"E ALEU","Other","East",2003,0.422962857508473,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8905,"E ALEU","Other","East",2003,-0.742561428015695,"F",11,11,11,1,2,3,4,5,11,11,11,11,11,11,11,11,11,11,11
8906,"E ALEU","Other","East",2003,3.53102761890626,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8910,"E ALEU","Other","East",2003,-0.791124939912536,"F",11,11,11,1,2,3,11,11,7,10,9,10,10,10,10,10,10,10,11
8912,"E ALEU","Other","East",2003,-0.0141087495630893,"F",11,11,11,1,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11
8913,"E ALEU","Other","East",2003,0.374399345611633,"F",11,11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8915,"E ALEU","Other","East",2003,-1.56814113026198,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8918,"E ALEU","Other","East",2003,-0.936815475603056,"F",11,11,11,1,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11
8919,"E ALEU","Other","East",2003,1.15141553596108,"F",11,11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8920,"E ALEU","Other","East",2003,-1.4710141064683,"F",11,11,11,1,11,11,11,5,7,9,10,10,11,11,11,11,11,11,11
8923,"E ALEU","Other","East",2003,1.44279660734212,"F",11,11,11,1,2,3,4,5,8,10,10,10,10,10,10,10,10,10,9
8925,"E ALEU","Other","East",2003,-1.2281965469841,"F",11,11,11,1,11,3,4,5,7,9,11,11,11,11,11,11,11,11,11
8926,"E ALEU","Other","East",2003,1.0542885121674,"F",11,11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8927,"E ALEU","Other","East",2003,0.617216905095835,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8932,"E ALEU","Other","East",2003,3.77384517839046,"F",11,11,11,1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11
8933,"E ALEU","Other","East",2003,-0.208362797150451,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8936,"E ALEU","Other","East",2003,-0.596870892325174,"F",11,11,11,1,11,3,11,5,11,11,11,11,11,11,11,11,11,11,11
8938,"E ALEU","Other","East",2003,-2.58797488009563,"F",11,11,11,1,2,3,11,5,7,9,11,11,11,11,11,11,11,11,11
