AnimalID,Brand,SiteName,Beach,Year,Month,Day,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
15719,~153,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,26.60,101.0,71.0,NA,~,2015-06-24,W ALEU
15720,~154,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,25.20,99.0,69.0,NA,~,2015-06-24,W ALEU
15721,~155,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,26.20,104.0,68.0,NA,~,2015-06-24,W ALEU
15722,~156,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,28.20,105.0,70.0,NA,~,2015-06-24,W ALEU
15725,>59,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,24.40,92.0,67.0,NA,>,2015-06-26,C ALEU
15726,>60,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,34.80,111.0,81.0,NA,>,2015-06-26,C ALEU
15727,>61,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,31.20,105.0,78.0,NA,>,2015-06-26,C ALEU
15728,>62,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,23.60,101.0,63.0,NA,>,2015-06-26,C ALEU
15729,>63,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,33.80,109.0,80.0,NA,>,2015-06-26,C ALEU
15730,>64,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,28.80,103.0,72.0,NA,>,2015-06-26,C ALEU
15731,>65,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,33.60,106.0,82.0,NA,>,2015-06-26,C ALEU
15732,>66,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,35.40,110.0,79.0,NA,>,2015-06-26,C ALEU
15733,>67,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,29.80,108.0,71.0,NA,>,2015-06-26,C ALEU
15734,>68,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,33.20,107.0,81.5,NA,>,2015-06-26,C ALEU
15735,>69,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,32.80,108.0,75.0,NA,>,2015-06-26,C ALEU
15736,>70,ULAK/HASGOX POINT,NA,2015,6,26,F,NA,P,32.00,105.0,74.0,NA,>,2015-06-26,C ALEU
15737,>71,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,47.80,122.0,88.0,NA,>,2015-06-26,C ALEU
15738,>72,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,41.80,114.0,83.0,NA,>,2015-06-26,C ALEU
15739,>73,ULAK/HASGOX POINT,NA,2015,6,26,M,NA,P,41.00,115.0,80.0,NA,>,2015-06-26,C ALEU
